mode,keys_checked,checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_ns,checks_before_if,checks_after_if, total_decaps_time
Classic,32,24,6403708.17,12511520.00,6925544.88,24,1,178867302.00
Classic,32,32,6428551.78,13107718.00,6838614.56,32,1,231698972.00
Classic,32,27,6422057.89,12710408.00,6893272.81,27,1,199219265.00
Classic,32,4,6295428.25,12474285.00,9414412.75,4,1,50658013.00
Classic,32,2,6562539.50,12810579.00,12969043.50,2,1,38577557.00
Classic,32,11,6375375.82,12722130.00,7532499.45,11,1,95927387.00
Classic,32,31,6361061.35,12556064.00,6766473.03,31,1,222966127.00
Classic,32,29,6441454.72,12507069.00,6873231.76,29,1,212108480.00
Classic,32,31,6395629.97,12526809.00,6800089.87,31,1,223559287.00
Classic,32,10,6359918.60,12623906.00,7622822.70,10,1,89076550.00
Classic,32,12,6388441.00,12772057.00,7453290.42,12,1,102173184.00
Classic,32,31,6388497.90,12612709.00,6795766.90,31,1,224070478.00
Classic,32,9,6421734.56,12550763.00,7816771.33,9,1,83376184.00
Classic,32,21,6408897.24,12700863.00,7014060.76,21,1,160175988.00
Classic,32,26,6387842.58,12803788.00,6880714.12,26,1,191521170.00
Classic,32,1,6315352.00,13300165.00,19616793.00,1,1,32404339.00
Classic,32,5,6346229.20,12841920.00,8915096.00,5,1,57739966.00
Classic,32,10,6342375.30,12743016.00,7617058.60,10,1,88994218.00
Classic,32,13,6386701.54,12736028.00,7366744.69,13,1,108487756.00
Classic,32,24,6307401.58,12466165.00,6827188.21,24,1,176735181.00
Classic,32,18,6434736.22,13415872.00,7180570.94,18,1,142282095.00
Classic,32,7,6401101.86,12738429.00,8221520.86,7,1,70343596.00
Classic,32,9,6400260.33,12827749.00,7826086.00,9,1,83702577.00
Classic,32,13,6456846.85,12746503.00,7437789.92,13,1,109676717.00
Classic,32,24,6380239.83,12566608.00,6904176.46,24,1,178694304.00
Classic,32,9,6444391.67,12429529.00,7825925.33,9,1,83494614.00
Classic,32,12,6347256.08,12555920.00,7394019.75,12,1,101526671.00
Classic,32,8,6477252.50,12844208.00,8083621.25,8,1,77431616.00
Classic,32,18,6379504.72,12865716.00,7094741.61,18,1,140703090.00
Classic,32,22,6440907.09,12756870.00,7021347.68,22,1,167471773.00
Classic,32,30,6350816.00,12531023.00,6768871.50,30,1,215941736.00
Classic,32,20,6333691.30,12741679.00,6971155.50,20,1,152126471.00
Classic,32,29,6401535.41,12796290.00,6843167.41,29,1,211487359.00
Classic,32,17,6411119.24,12703147.00,7158824.94,17,1,135006172.00
Classic,32,14,6303978.64,12828271.00,7220635.07,14,1,114259332.00
Classic,32,9,6422061.67,12508333.00,7812290.89,9,1,83428273.00
Classic,32,19,6396207.11,12678683.00,7063973.21,19,1,147480339.00
Classic,32,23,6437334.00,12533616.00,6982777.09,23,1,173547326.00
Classic,32,31,6393646.94,12857767.00,6808758.74,31,1,223693514.00
Classic,32,6,6469527.83,12786544.00,8601230.00,6,1,64433283.00
Classic,32,23,6451381.43,13032929.00,7018574.35,23,1,174255778.00
Classic,32,27,6314800.33,13366565.00,6810151.44,27,1,196488774.00
Classic,32,24,6406193.75,12743707.00,6937527.83,24,1,179531770.00
Classic,32,6,6406422.83,12617536.00,8510044.00,6,1,63964295.00
Classic,32,11,6429151.45,13033528.00,7614537.09,11,1,96687073.00
Classic,32,10,6350477.00,13100803.00,7661040.40,10,1,89202469.00
Classic,32,21,6417014.19,12856940.00,7029544.76,21,1,160406247.00
Classic,32,15,6455527.53,12555391.00,7293038.80,15,1,122183657.00
Classic,32,2,6562738.50,12668359.00,12897955.00,2,1,38425798.00
Classic,32,28,6398454.39,12573010.00,6847916.32,28,1,204559176.00
Classic,32,9,6366969.22,12689246.00,7777493.78,9,1,82790976.00
Classic,32,19,6353371.58,12777372.00,7026313.74,19,1,146140161.00
Classic,32,23,6406359.57,12549250.00,6952415.87,23,1,172580936.00
Classic,32,2,6494385.50,12609771.00,12800373.00,2,1,38629954.00
Classic,32,22,6390492.45,13107864.00,6986614.50,22,1,166514110.00
Classic,32,28,6430129.14,12438790.00,6874888.32,28,1,205215880.00
Classic,32,23,6377266.30,12595659.00,6925325.70,23,1,171966573.00
Classic,32,21,6411639.38,12468892.00,7005852.57,21,1,160381017.00
Classic,32,2,6325141.50,12744447.00,12698398.00,2,1,38154086.00
Classic,32,8,6311148.00,12541868.00,7879258.38,8,1,75732040.00
Classic,32,21,6405242.48,12754328.00,7013144.29,21,1,160361195.00
Classic,32,9,6508767.56,12625769.00,7912202.33,9,1,84224880.00
